BPM_c,PG_c,NG_c,SG_c,PPG_c,PNG_c,MA_c,TR-c,RR,RD,neck
122.5224305,28.02045274,19.43610744,47.45656018,0.2061675,0.28353875,0.117483469,0.358416667,22.20454083,0.940674349,0
126.1968987,6.846924833,33.12479133,39.97171617,0.26577375,0.20967375,0.111830736,0.287356667,26.57189358,0.820322323,0
110.6398672,11.33988072,19.26414499,30.60402571,0.24497,0.29733,0.119662924,0.474045,18.82955487,0.987686826,0
123.4653641,28.59384198,6.579619362,35.17346134,0.2431,0.24286625,0.131943549,0.326003333,27.5412545,1.099830818,0
111.5243709,9.57417866,9.622109275,19.19628794,0.286671,0.251328,0.16264398,0.15334,20.48232461,1.433639511,0
92.06760831,6.25265135,3.983989216,10.23664057,0.2538525,0.3978425,0.147285958,0.077293333,19.85492667,1.544654656,0
116.5158838,10.23262646,12.93636832,23.16899478,0.25502125,0.25993,0.125910948,0.245281667,25.31405246,1.13008453,0
84.90489944,5.776030922,4.137670353,9.913701275,0.276947,0.429726,0.123255715,0.13487375,16.05080615,1.295661369,0
101.9236388,7.940956675,8.026169566,15.96712624,0.25619,0.332486,0.098050957,0.1154725,17.77101163,1.093594067,0
100.8451383,7.931464554,7.169429314,15.10089387,0.264916667,0.330055,0.099387896,0.2632025,26.96265672,0.785248412,0
119.3881358,10.05641328,9.188133555,19.24454683,0.2117775,0.290785,0.092594662,0.178585,29.83315806,0.687802916,0
89.49947419,5.332267786,5.3779087,10.71017649,0.325068333,0.345326667,0.259351942,0.14773,25.84418969,1.703887038,0
106.6674252,11.64652113,16.64095615,28.28747728,0.256377,0.306119,0.15178707,0.23562,19.87953005,1.791102244,0
91.1090246,5.178734455,4.712183848,9.890918304,0.315406667,0.343145,0.214526186,0.0977075,27.35341986,0.613862144,0
116.6217592,28.66513288,23.45821201,52.12334488,0.298265,0.21621875,0.179073167,0.331301667,19.8426478,1.349881196,0
92.2882881,5.363268148,4.82643984,10.18970799,0.299511667,0.350625,0.150595391,0.1285625,28.2443323,0.559860979,0
103.7947804,18.91760358,7.203722528,26.12132611,0.2753575,0.30270625,0.103550065,0.206011667,19.23594814,0.969599321,0
