BPM_c,PG_c,NG_c,SG_c,PPG_c,PNG_c,MA_c,TR-c,RR,RD,neck,data
145.3925113,27.39951122,15.18090581,42.58041703,0.16272,0.249956,0.111941792,0.3443675,25.78792867,0.57361199,1,0
100.8496584,12.62991388,11.15215301,23.78206688,0.15933,0.435615,0.088835383,0.54579,27.04908056,1.177797926,1,0
114.1060425,14.00380361,12.85629109,26.86009471,0.241443333,0.284383333,0.107758837,0.294478,15.35937088,1.003471186,1,0
86.10380292,5.71106657,3.810085556,9.521152126,0.337116667,0.359716667,0.146926785,0.14464,24.36775821,0.823144779,1,0
135.4524111,22.73852662,20.59118096,43.32970757,0.2014225,0.2415375,0.060122255,0.3842,23.81046867,0.284221767,1,0
121.5042223,25.48103613,19.32002905,44.80106518,0.1505725,0.3432375,0.057992768,0.407768571,13.18206185,0.965265541,1,0
154.465004,27.31052529,20.06618186,47.37670715,0.1601775,0.22826,0.06083765,0.332596667,26.15632765,0.365746544,1,0
129.2299243,22.11824818,16.48589603,38.60414422,0.17868125,0.2856075,0.075053859,0.358532857,13.86353659,0.903387097,1,0
108.8952935,25.55725918,17.60764243,43.1649016,0.155036,0.395952,0.041912108,0.5726275,17.13923342,0.405635746,1,0
60.96136066,3.995784093,2.487956237,6.48374033,0.306983333,0.677246667,0.066006829,0.66105,12.1116207,0.942963169,1,0
118.5208597,13.57147501,14.9206937,28.49216872,0.232215,0.274025,0.11284428,0.350461429,13.92169511,1.127331875,1,0
82.00362183,3.694265415,3.905585805,7.59985122,0.41245,0.319225,0.34386807,0.10961,23.54649452,0.85021392,1,0
137.1581405,25.47315456,22.71758256,48.19073712,0.17628,0.26117125,0.099216715,0.416647143,12.43206395,2.409149727,1,0
127.6816956,13.51931499,17.42253611,30.9418511,0.195167143,0.274751429,0.222830374,0.312068333,16.90998253,4.680775665,1,0
132.9649711,17.81491437,15.0145371,32.82945148,0.167616667,0.28363,0.096047217,0.319225,28.59307762,1.217599213,1,0
94.31144784,25.80731496,32.94378768,58.75110265,0.12204,0.51415,0.025953138,0.61924,15.02471566,0.467383128,1,0
116.8115635,17.66590085,15.26468187,32.93058272,0.175275556,0.338372222,0.132394527,0.32868875,11.64926396,1.71315616,1,0
99.06221107,16.89666649,7.057652703,23.95431919,0.20114,0.40454,0.142437326,0.31414,18.6633902,2.614991115,1,0
99.94794378,15.92752123,13.36976743,29.29728866,0.15368,0.4466325,0.036578804,0.336363333,20.75736714,0.165592148,1,0
123.0054327,32.5736065,11.65534058,44.22894707,0.161213333,0.32657,0.063326746,0.4294,29.41681171,0.205957432,1,0
50.52078509,3.230338728,0.99719106,4.227529789,0.29154,0.89609,0.061091287,0.3955,12.83474622,0.896818281,1,0
46.76806676,6.013555752,4.450944844,10.4645006,0.273836667,1.00909,0.035898674,1.904615,14.25814853,0.274769976,1,0
138.4288327,23.58207938,15.54919051,39.13126989,0.152227143,0.281208571,0.101609505,0.293423333,16.82958641,1.443285127,1,0
133.6791166,25.45151164,23.24271942,48.69423106,0.226,0.222836,0.11010064,0.428835,18.92278871,1.018483418,1,0
108.7317648,21.74396627,12.94914207,34.69310834,0.15255,0.399266667,0.063728632,0.313575,24.01508147,0.231667576,1,0
81.04402717,38.42358631,24.53257879,62.9561651,0.28024,0.460098333,0.074649103,0.64975,11.50787714,0.864606156,1,0
80.72572426,11.93502439,10.77091461,22.705939,0.2929525,0.450305,0.080249946,0.412826667,15.60768522,0.351671423,1,0
128.4095408,18.27664283,15.12989756,33.40654039,0.1584825,0.3087725,0.042856641,0.230143333,24.5934901,0.351642091,1,0
75.74514284,3.636885065,2.993324802,6.630209868,0.373465,0.418665,0.050760246,0.02938,22.76901592,0.275888573,1,0
107.5934045,16.70361019,21.39950229,38.10311247,0.216395,0.34126,0.087475063,0.350526,13.91075324,0.825044266,1,0
92.93584329,13.08896909,14.3619983,27.4509674,0.175338333,0.470268333,0.110641024,0.475956,12.78529861,2.099271611,1,0
93.977602,23.11344445,26.73775419,49.85119864,0.15594,0.48251,0.02823076,0.5709325,14.14043812,0.291277404,1,0
85.36550664,9.740750856,2.971088637,12.71183949,0.14464,0.55822,0.04263361,0.226,24.85830765,0.155841759,1,0
125.8230927,20.34304337,10.3594508,30.70249417,0.17515,0.30171,0.124301445,0.230143333,27.41215546,0.867809797,1,0
124.3497544,24.43712758,15.17086962,39.6079972,0.156316667,0.326193333,0.143400418,0.42036,26.33796882,0.669106633,1,0
142.9269048,18.98871797,19.02570904,38.01442701,0.1985975,0.2211975,0.064104797,0.349923333,23.0958439,0.75173901,0,0
127.0271415,6.134781033,25.54426457,31.6790456,0.221103333,0.251236667,0.227428012,0.418665,26.40345357,2.500692918,0,0
165.6703436,21.30080751,22.18880549,43.489613,0.163285,0.19888,0.147065483,0.110966,25.88851542,1.658199542,0,0
147.6156384,23.63864132,21.64926806,45.28790938,0.154697,0.251764,0.083506797,0.340883333,11.80465654,1.387022037,0,0
140.4320157,23.72670345,18.76078417,42.48748763,0.213231,0.214022,0.119538656,0.397257778,12.35971721,3.26644901,0,0
122.4852252,25.63025276,15.98479541,41.61504817,0.148783333,0.341071667,0.062766281,0.339678,18.06646653,1.046284447,0,0
128.2544568,32.46581559,7.139672341,39.60548793,0.209426667,0.258393333,0.064690261,0.44409,24.28972787,0.317135855,0,0
112.6136694,20.18667901,12.60808012,32.79475913,0.202835,0.32996,0.104930053,0.365474286,13.45599218,1.102585834,0,0
137.2024422,19.51573511,16.4983484,36.01408351,0.182156,0.255154,0.050708244,0.24521,22.66211913,0.709510705,0,0
138.0945257,37.63194586,18.56558303,56.1975289,0.151043333,0.283441667,0.081433993,0.452,19.84205722,1.29848072,0,0
74.47032978,4.788364201,3.053394129,7.84175833,0.300015,0.505675,0.256327018,0.40228,26.96665573,2.03535782,0,0
95.2703561,8.986147664,3.726605043,12.71275271,0.257263333,0.372523333,0.145003446,0.12656,26.02811036,0.983463854,0,0
134.970374,20.94395222,37.91267521,58.85662743,0.18871,0.255832,0.09060924,0.398325,20.22756005,1.287665649,0,0
102.5540225,18.83820104,19.16820624,38.00640728,0.2743075,0.31075,0.167562034,0.31188,17.3691021,2.219481793,0,0
102.6366207,13.89598518,23.42901942,37.3250046,0.191911667,0.392675,0.127258131,0.459006,15.88314243,1.223661725,0,0
119.4093219,9.221012408,8.108472488,17.3294849,0.232026667,0.270446667,0.155452215,0.095485,27.46888005,1.53522299,0,0
150.8983165,30.71538437,15.49924142,46.2146258,0.14591125,0.2517075,0.083093175,0.320435714,17.26181571,1.346615246,0,0
89.74199177,9.499937615,4.258779351,13.75871697,0.190593333,0.47799,0.167260926,0.21922,24.4462915,1.694672211,0,0
128.1512755,17.45957793,15.33681914,32.79639707,0.18532,0.282876667,0.148427305,0.234588,18.34738947,1.25719526,0,0
124.2527577,10.52005376,10.14315911,20.66321287,0.218466667,0.26442,0.187228661,0.105542,19.0449588,3.279057104,0,0
141.1091177,31.32803112,42.04687471,73.37490583,0.161267143,0.263935714,0.123939395,0.20679,16.13410669,1.367944918,0,0
92.74645438,7.188382426,5.533388383,12.72177081,0.26668,0.380245,0.219743659,0.37177,25.32062238,1.536528642,0,0
137.954996,37.15472428,80.00612959,117.1608539,0.147151111,0.287773333,0.109772864,0.3912625,13.54178657,2.61858245,0,0
